date, time, petrol, diesel
2021-06-20,16:00:00,1.52,1.33
2021-06-20,16:10:00,1.52,1.33
2021-06-20,16:20:01,1.52,1.33
2021-06-20,16:30:02,1.52,1.33
2021-06-20,16:40:03,1.51,1.32
2021-06-20,16:50:04,1.51,1.32
2021-06-20,17:00:04,1.51,1.32
2021-06-20,17:10:05,1.51,1.32
2021-06-20,17:20:05,1.50,1.33
2021-06-20,17:30:06,1.50,1.33
2021-06-20,17:40:06,1.49,1.32
2021-06-20,17:50:07,1.49,1.32
2021-06-20,18:00:12,1.49,1.32
2021-06-20,18:10:13,1.49,1.32
2021-06-20,18:20:13,1.48,1.31
2021-06-20,18:30:14,1.48,1.31
2021-06-20,18:40:15,1.47,1.30
2021-06-20,18:50:15,1.47,1.30
2021-06-20,19:00:16,1.47,1.30
2021-06-20,19:10:16,1.50,1.33
2021-06-20,19:20:17,1.50,1.33
2021-06-20,19:30:17,1.49,1.32
2021-06-20,19:40:25,1.48,1.31
2021-06-20,19:50:55,1.48,1.31
2021-06-20,20:01:18,1.48,1.31
2021-06-20,20:11:19,1.48,1.31
2021-06-20,20:21:19,1.48,1.31
2021-06-20,20:31:20,1.48,1.31
2021-06-20,20:41:20,1.47,1.30
2021-06-20,20:51:21,1.47,1.30
2021-06-20,21:01:21,1.46,1.29
2021-06-20,21:11:22,1.46,1.29
2021-06-20,21:21:23,1.46,1.29
2021-06-20,21:31:23,1.45,1.28
2021-06-20,21:41:24,1.45,1.28
2021-06-20,21:51:24,1.45,1.28
2021-06-20,22:01:25,1.45,1.28
2021-06-20,22:11:25,1.45,1.28
2021-06-20,22:21:26,1.45,1.28
2021-06-20,22:31:26,1.45,1.28
2021-06-20,22:41:27,1.45,1.28
2021-06-20,22:51:28,1.45,1.28
2021-06-20,23:01:29,1.45,1.28
2021-06-20,23:11:29,1.49,1.32
2021-06-20,23:21:30,1.49,1.32
2021-06-20,23:31:31,1.49,1.32
2021-06-20,23:41:31,1.49,1.32
2021-06-20,23:51:32,1.49,1.32
2021-06-21,00:01:32,1.49,1.32
2021-06-21,00:11:33,1.49,1.32
2021-06-21,00:21:34,1.49,1.32
2021-06-21,00:31:35,1.49,1.32
2021-06-21,00:41:35,1.49,1.32
2021-06-21,00:51:36,1.49,1.32
2021-06-21,01:01:37,1.49,1.32
2021-06-21,01:11:37,1.49,1.32
2021-06-21,01:20:00,1.49,1.32
2021-06-21,01:30:00,1.49,1.32
2021-06-21,01:40:01,1.49,1.32
2021-06-21,01:50:01,1.49,1.32
2021-06-21,02:00:07,1.49,1.32
2021-06-21,02:10:07,1.49,1.32
2021-06-21,02:20:08,1.49,1.32
2021-06-21,02:30:08,1.49,1.32
2021-06-21,02:40:09,1.49,1.32
2021-06-21,02:50:09,1.49,1.32
2021-06-21,03:00:10,1.49,1.32
2021-06-21,03:10:10,1.49,1.32
2021-06-21,03:20:11,1.49,1.32
2021-06-21,03:30:12,1.49,1.32
2021-06-21,03:40:12,1.49,1.32
2021-06-21,03:50:13,1.49,1.32
2021-06-21,04:00:13,1.49,1.32
2021-06-21,04:10:14,1.49,1.32
2021-06-21,04:20:14,1.49,1.32
2021-06-21,04:30:15,1.49,1.32
2021-06-21,04:40:15,1.49,1.32
2021-06-21,04:50:16,1.49,1.32
2021-06-21,05:00:16,1.49,1.32
2021-06-21,05:10:17,1.49,1.32
2021-06-21,05:20:17,1.49,1.32
2021-06-21,05:30:18,1.49,1.32
2021-06-21,05:40:18,1.49,1.32
2021-06-21,05:50:19,1.49,1.32
2021-06-21,06:00:19,1.52,1.35
2021-06-21,06:10:20,1.52,1.35
2021-06-21,06:20:21,1.52,1.35
2021-06-21,06:30:21,1.52,1.35
2021-06-21,06:40:22,1.52,1.35
2021-06-21,06:50:22,1.57,1.36
2021-06-21,07:00:23,1.57,1.36
2021-06-21,07:10:23,1.57,1.36
2021-06-21,07:20:24,1.57,1.36
2021-06-21,07:30:24,1.57,1.36
2021-06-21,07:40:25,1.57,1.36
2021-06-21,07:50:25,1.57,1.36
2021-06-21,08:00:26,1.57,1.36
2021-06-21,08:10:26,1.57,1.36
2021-06-21,08:20:27,1.57,1.36
2021-06-21,08:30:33,1.54,1.35
2021-06-21,08:40:33,1.54,1.35
2021-06-21,08:50:39,1.54,1.35
2021-06-21,09:00:39,1.54,1.35
2021-06-21,09:10:40,1.54,1.35
2021-06-21,09:20:40,1.53,1.35
2021-06-21,09:30:41,1.53,1.35
2021-06-21,09:40:41,1.57,1.38
2021-06-21,09:50:42,1.57,1.38
2021-06-21,10:00:43,1.57,1.38
2021-06-21,10:10:43,1.56,1.38
2021-06-21,10:20:44,1.56,1.38
2021-06-21,10:30:44,1.56,1.38
2021-06-21,10:40:45,1.56,1.38
2021-06-21,10:50:45,1.56,1.38
2021-06-21,11:00:46,1.55,1.38
2021-06-21,11:10:46,1.55,1.38
2021-06-21,11:20:47,1.55,1.38
2021-06-21,11:30:47,1.55,1.37
2021-06-21,11:40:48,1.54,1.37
2021-06-21,11:50:49,1.53,1.35
2021-06-21,12:00:49,1.53,1.35
2021-06-21,12:10:50,1.53,1.35
2021-06-21,12:20:51,1.53,1.35
2021-06-21,12:30:51,1.53,1.35
2021-06-21,12:40:52,1.56,1.38
2021-06-21,12:50:52,1.56,1.38
